,Time,PRICE,SIZE,BID_PRICE1,ASK_PRICE1,BID_SIZE1,ASK_SIZE1,Type
17344,2023-03-16 10:00:00.192502,,,159.8,159.84,100,140,Glass
0,2023-03-16 10:00:00.255376,159.81,100,,,,,Deal
17345,2023-03-16 10:00:00.723481,,,159.8,159.83,163,192,Glass
1,2023-03-16 10:00:00.781187,159.83,20,,,,,Deal
17346,2023-03-16 10:00:01.223688,,,159.75,159.8,40,91,Glass
2,2023-03-16 10:00:01.286070,159.81,20,,,,,Deal
17347,2023-03-16 10:00:01.955348,,,159.75,159.8,40,60,Glass
3,2023-03-16 10:00:01.955348,159.8,40,,,,,Deal
17348,2023-03-16 10:00:02.723206,,,159.75,159.8,80,10,Glass
4,2023-03-16 10:00:02.723206,159.8,10,,,,,Deal
17349,2023-03-16 10:00:03.732989,,,159.75,159.8,78,4,Glass
5,2023-03-16 10:00:03.732989,159.8,6,,,,,Deal
17350,2023-03-16 10:00:04.312892,,,159.75,159.79,76,119,Glass
6,2023-03-16 10:00:04.312892,159.79,20,,,,,Deal
7,2023-03-16 10:00:04.930295,159.79,2,,,,,Deal
17351,2023-03-16 10:00:04.930295,,,159.76,159.79,79,145,Glass
8,2023-03-16 10:00:05.493215,159.79,1,,,,,Deal
17352,2023-03-16 10:00:05.493215,,,159.75,159.79,80,342,Glass
17353,2023-03-16 10:00:06.256210,,,159.75,159.79,78,91,Glass
9,2023-03-16 10:00:06.256210,159.79,6,,,,,Deal
10,2023-03-16 10:00:06.888046,159.75,3,,,,,Deal
17354,2023-03-16 10:00:06.888046,,,159.75,159.79,77,90,Glass
17355,2023-03-16 10:00:07.838392,,,159.75,159.79,77,230,Glass
11,2023-03-16 10:00:07.856960,159.79,1,,,,,Deal
17356,2023-03-16 10:00:08.551723,,,159.75,159.79,114,224,Glass
12,2023-03-16 10:00:08.551723,159.79,5,,,,,Deal
13,2023-03-16 10:00:09.097715,159.79,3,,,,,Deal
17357,2023-03-16 10:00:09.097715,,,159.76,159.79,41,218,Glass
17358,2023-03-16 10:00:09.751523,,,159.76,159.79,40,217,Glass
14,2023-03-16 10:00:09.751523,159.76,1,,,,,Deal
15,2023-03-16 10:00:10.270939,159.75,4,,,,,Deal
17359,2023-03-16 10:00:10.270939,,,159.75,159.79,320,140,Glass
17360,2023-03-16 10:00:10.970766,,,159.75,159.79,540,140,Glass
17361,2023-03-16 10:00:11.639200,,,159.75,159.8,540,722,Glass
16,2023-03-16 10:00:11.740559,159.75,190,,,,,Deal
17,2023-03-16 10:00:12.645633,159.77,1,,,,,Deal
17362,2023-03-16 10:00:12.645633,,,159.77,159.78,150,11,Glass
17363,2023-03-16 10:00:13.335363,,,159.77,159.79,150,41,Glass
18,2023-03-16 10:00:13.816619,159.79,1,,,,,Deal
17364,2023-03-16 10:00:14.016343,,,159.77,159.79,50,39,Glass
19,2023-03-16 10:00:14.409363,159.79,10,,,,,Deal
17365,2023-03-16 10:00:15.815950,,,159.77,159.79,49,29,Glass
20,2023-03-16 10:00:15.815950,159.77,1,,,,,Deal
17366,2023-03-16 10:00:16.811737,,,159.77,159.79,29,29,Glass
21,2023-03-16 10:00:16.811737,159.77,20,,,,,Deal
17367,2023-03-16 10:00:17.443822,,,159.74,159.79,450,517,Glass
17368,2023-03-16 10:00:18.378029,,,159.74,159.79,50,317,Glass
22,2023-03-16 10:00:18.378029,159.74,300,,,,,Deal
17369,2023-03-16 10:00:18.906715,,,159.72,159.77,84,149,Glass
23,2023-03-16 10:00:18.906715,159.72,100,,,,,Deal
24,2023-03-16 10:00:20.307513,159.76,15,,,,,Deal
17370,2023-03-16 10:00:20.307513,,,159.71,159.76,223,173,Glass
17371,2023-03-16 10:00:21.479607,,,159.71,159.76,223,223,Glass
17372,2023-03-16 10:00:22.021501,,,159.71,159.76,222,223,Glass
25,2023-03-16 10:00:22.021501,159.71,1,,,,,Deal
17373,2023-03-16 10:00:23.010962,,,159.71,159.75,222,1,Glass
26,2023-03-16 10:00:23.650658,159.75,1,,,,,Deal
17374,2023-03-16 10:00:23.650658,,,159.71,159.75,273,3,Glass
27,2023-03-16 10:00:24.646580,159.72,2,,,,,Deal
17375,2023-03-16 10:00:24.646580,,,159.72,159.75,1,143,Glass
28,2023-03-16 10:00:25.722125,159.7,1,,,,,Deal
17376,2023-03-16 10:00:25.722125,,,159.7,159.71,252,3,Glass
29,2023-03-16 10:00:27.734334,159.7,21,,,,,Deal
17377,2023-03-16 10:00:27.734334,,,159.7,159.71,231,3,Glass
17378,2023-03-16 10:00:28.268968,,,159.7,159.71,229,3,Glass
30,2023-03-16 10:00:28.268968,159.7,1,,,,,Deal
17379,2023-03-16 10:00:28.794890,,,159.75,159.76,10,4,Glass
31,2023-03-16 10:00:29.397988,159.75,10,,,,,Deal
17380,2023-03-16 10:00:29.397988,,,159.75,159.76,30,4,Glass
32,2023-03-16 10:00:29.983653,159.71,5,,,,,Deal
17381,2023-03-16 10:00:29.983653,,,159.71,159.76,95,4,Glass
17382,2023-03-16 10:00:30.503729,,,159.76,159.8,222,486,Glass
33,2023-03-16 10:00:30.503729,159.8,5,,,,,Deal
34,2023-03-16 10:00:31.126227,159.8,20,,,,,Deal
17383,2023-03-16 10:00:31.126227,,,159.77,159.8,613,178,Glass
17384,2023-03-16 10:00:32.729109,,,159.77,159.8,279,178,Glass
35,2023-03-16 10:00:32.960091,159.8,15,,,,,Deal
17385,2023-03-16 10:00:33.491437,,,159.78,159.8,613,166,Glass
17386,2023-03-16 10:00:34.002238,,,159.78,159.8,613,166,Glass
36,2023-03-16 10:00:34.385078,159.8,153,,,,,Deal
17387,2023-03-16 10:00:34.554771,,,159.78,159.85,222,362,Glass
17388,2023-03-16 10:00:36.041880,,,159.78,159.85,221,123,Glass
37,2023-03-16 10:00:36.290327,159.85,1,,,,,Deal
17389,2023-03-16 10:00:37.029844,,,159.72,159.77,221,175,Glass
38,2023-03-16 10:00:37.029844,159.72,1,,,,,Deal
39,2023-03-16 10:00:39.578600,159.72,5,,,,,Deal
17390,2023-03-16 10:00:39.578600,,,159.72,159.77,215,174,Glass
17391,2023-03-16 10:00:40.510204,,,159.72,159.77,214,173,Glass
40,2023-03-16 10:00:40.510204,159.72,1,,,,,Deal
17392,2023-03-16 10:00:41.081514,,,159.72,159.77,213,173,Glass
41,2023-03-16 10:00:41.081514,159.72,1,,,,,Deal
17393,2023-03-16 10:00:41.721882,,,159.72,159.77,212,173,Glass
